發生年度,發生月份,發生日期,發生時間,發生地點,天候名稱,光線名稱,道路類別-第1當事者-名稱,路面狀況-路面狀態名稱,事故類型及型態大類別名稱,肇因研判子類別名稱-主要,死亡受傷人數,當事者順位,當事者區分-類別-大類別名稱-車種,當事者屬-性-別名稱,當事者事故發生時年齡,經度,緯度
2021,1,20210101,44900,屏東縣萬巒鄉鹿寮村三多路1-8號前0.0公尺附近,晴,夜間(或隧道、地下道、涵洞)有照明,縣道,乾燥,車與車,未注意車前狀態,死亡1;受傷0,1,機車,男,17,120.560111,22.567105
2021,1,20210101,44900,屏東縣萬巒鄉鹿寮村三多路1-8號前0.0公尺附近,晴,夜間(或隧道、地下道、涵洞)有照明,縣道,乾燥,車與車,未注意車前狀態,死亡1;受傷0,2,小貨車(含客、貨兩用),男,73,120.560111,22.567105
2021,1,20210101,45700,臺中市霧峰區西柳橋頭,晴,晨或暮光,市區道路,乾燥,車與車,未依規定讓車,死亡1;受傷0,2,機車,男,36,120.680001,24.070698
2021,1,20210101,45700,臺中市霧峰區西柳橋頭,晴,晨或暮光,市區道路,乾燥,車與車,未依規定讓車,死亡1;受傷0,1,半聯結車,男,35,120.680001,24.070698
2021,1,20210101,73000,南投縣仁愛鄉台8線 111公里100.0公尺處北側向外側,晴,日間自然光線,省道,乾燥,車與車,未靠右行駛,死亡1;受傷0,1,機車,男,20,121.303376,24.191833
2021,1,20210101,73000,南投縣仁愛鄉台8線 111公里100.0公尺處北側向外側,晴,日間自然光線,省道,乾燥,車與車,未靠右行駛,死亡1;受傷0,2,小貨車(含客、貨兩用),男,67,121.303376,24.191833
2021,1,20210101,90000,臺中市梧棲區福德里港埠路二段 / 臺中市梧棲區福德里中興路,晴,日間自然光線,市區道路,乾燥,車與車,逆向行駛,死亡1;受傷0,1,慢車,男,69,120.536745,24.252353
2021,1,20210101,90000,臺中市梧棲區福德里港埠路二段 / 臺中市梧棲區福德里中興路,晴,日間自然光線,市區道路,乾燥,車與車,逆向行駛,死亡1;受傷0,2,小客車,男,41,120.536745,24.252353
2021,1,20210101,133200,新北市新莊區新北市新莊區中正路1號與中正路,陰,日間自然光線,市區道路,乾燥,車與車,未依規定讓車,死亡1;受傷1,1,小客車,男,20,121.465555,25.041909
2021,1,20210101,133200,新北市新莊區新北市新莊區中正路1號與中正路,陰,日間自然光線,市區道路,乾燥,車與車,未依規定讓車,死亡1;受傷1,2,機車,男,26,121.465555,25.041909
2021,1,20210101,133200,新北市新莊區新北市新莊區中正路1號與中正路,陰,日間自然光線,市區道路,乾燥,車與車,未依規定讓車,死亡1;受傷1,3,人,女,28,121.465555,25.041909
2021,1,20210101,154000,雲林縣大埤鄉157線330464號燈處,晴,日間自然光線,縣道,乾燥,車與車,未注意車前狀態,死亡1;受傷0,2,機車,女,72,120.41658,23.634047
2021,1,20210101,154000,雲林縣大埤鄉157線330464號燈處,晴,日間自然光線,縣道,乾燥,車與車,未注意車前狀態,死亡1;受傷0,1,小貨車(含客、貨兩用),男,42,120.41658,23.634047
2021,1,20210101,160400,臺南市玉井區台20線 28公里800.0公尺處西側向外側,晴,日間自然光線,省道,乾燥,汽(機)車本身,未注意車前狀態,死亡2;受傷2,2,,無或物(動物、堆置物),-1,120.423783,23.071161
2021,1,20210101,160400,臺南市玉井區台20線 28公里800.0公尺處西側向外側,晴,日間自然光線,省道,乾燥,汽(機)車本身,未注意車前狀態,死亡2;受傷2,1,小客車,男,41,120.423783,23.071161
2021,1,20210101,160400,臺南市玉井區台20線 28公里800.0公尺處西側向外側,晴,日間自然光線,省道,乾燥,汽(機)車本身,未注意車前狀態,死亡2;受傷2,5,人,女,40,120.423783,23.071161
2021,1,20210101,160400,臺南市玉井區台20線 28公里800.0公尺處西側向外側,晴,日間自然光線,省道,乾燥,汽(機)車本身,未注意車前狀態,死亡2;受傷2,3,人,男,63,120.423783,23.071161
2021,1,20210101,160400,臺南市玉井區台20線 28公里800.0公尺處西側向外側,晴,日間自然光線,省道,乾燥,汽(機)車本身,未注意車前狀態,死亡2;受傷2,4,人,男,36,120.423783,23.071161
2021,1,20210101,194300,苗栗縣南庄鄉台三線98.8公里處,陰,夜間(或隧道、地下道、涵洞)有照明,省道,乾燥,人與汽(機)車,未依標誌、標線、號誌或手勢指揮穿越道路,死亡1;受傷0,2,小貨車(含客、貨兩用),女,56,120.957925,24.600989
2021,1,20210101,194300,苗栗縣南庄鄉台三線98.8公里處,陰,夜間(或隧道、地下道、涵洞)有照明,省道,乾燥,人與汽(機)車,未依標誌、標線、號誌或手勢指揮穿越道路,死亡1;受傷0,1,人,男,55,120.957925,24.600989
2021,1,20210102,94200,臺中市龍井區竹坑里中華路1段前0.0公尺,晴,日間自然光線,市區道路,乾燥,車與車,未注意車前狀態,死亡1;受傷0,1,機車,男,58,120.543028,24.171578
2021,1,20210102,94200,臺中市龍井區竹坑里中華路1段前0.0公尺,晴,日間自然光線,市區道路,乾燥,車與車,未注意車前狀態,死亡1;受傷0,2,大客車,男,32,120.543028,24.171578
2021,1,20210102,95800,嘉義縣布袋鎮東港里172線與村里道路路口,晴,日間自然光線,縣道,乾燥,車與車,違反特定標誌(線)禁制,死亡1;受傷0,2,大貨車,男,61,120.186905,23.373336
2021,1,20210102,95800,嘉義縣布袋鎮東港里172線與村里道路路口,晴,日間自然光線,縣道,乾燥,車與車,違反特定標誌(線)禁制,死亡1;受傷0,1,機車,男,50,120.186905,23.373336
2021,1,20210102,205830,宜蘭縣冬山鄉鹿埔路東側 / 宜蘭縣冬山鄉鹿梅路東側,雨,夜間(或隧道、地下道、涵洞)有照明,鄉道,濕潤,汽(機)車本身,不明原因肇事,死亡1;受傷0,2,,無或物(動物、堆置物),-1,121.745872,24.656693
2021,1,20210102,205830,宜蘭縣冬山鄉鹿埔路東側 / 宜蘭縣冬山鄉鹿梅路東側,雨,夜間(或隧道、地下道、涵洞)有照明,鄉道,濕潤,汽(機)車本身,不明原因肇事,死亡1;受傷0,1,機車,男,51,121.745872,24.656693
2021,1,20210102,212800,宜蘭縣三星鄉上將路2段190號附近,雨,夜間(或隧道、地下道、涵洞)有照明,縣道,濕潤,人與汽(機)車,未注意車前狀態,死亡1;受傷0,1,小客車,男,64,121.733743,24.696659
2021,1,20210102,212800,宜蘭縣三星鄉上將路2段190號附近,雨,夜間(或隧道、地下道、涵洞)有照明,縣道,濕潤,人與汽(機)車,未注意車前狀態,死亡1;受傷0,2,人,男,82,121.733743,24.696659
2021,1,20210103,42715,南投縣埔里鎮中正路129-10號,晴,夜間(或隧道、地下道、涵洞)有照明,縣道,乾燥,車與車,酒醉(後)駕駛失控,死亡1;受傷2,1,小客車,男,25,120.978169,23.946037
2021,1,20210103,42715,南投縣埔里鎮中正路129-10號,晴,夜間(或隧道、地下道、涵洞)有照明,縣道,乾燥,車與車,酒醉(後)駕駛失控,死亡1;受傷2,4,機車,男,77,120.978169,23.946037
2021,1,20210103,42715,南投縣埔里鎮中正路129-10號,晴,夜間(或隧道、地下道、涵洞)有照明,縣道,乾燥,車與車,酒醉(後)駕駛失控,死亡1;受傷2,2,機車,女,71,120.978169,23.946037
2021,1,20210103,42715,南投縣埔里鎮中正路129-10號,晴,夜間(或隧道、地下道、涵洞)有照明,縣道,乾燥,車與車,酒醉(後)駕駛失控,死亡1;受傷2,3,機車,女,62,120.978169,23.946037
2021,1,20210103,231300,新北市五股區新北市五股區中興路3段與新五路2段,陰,夜間(或隧道、地下道、涵洞)有照明,市區道路,乾燥,車與車,違反號誌管制或指揮,死亡1;受傷1,1,小客車,男,22,121.441968,25.081495
2021,1,20210103,231300,新北市五股區新北市五股區中興路3段與新五路2段,陰,夜間(或隧道、地下道、涵洞)有照明,市區道路,乾燥,車與車,違反號誌管制或指揮,死亡1;受傷1,3,人,女,21,121.441968,25.081495
2021,1,20210103,231300,新北市五股區新北市五股區中興路3段與新五路2段,陰,夜間(或隧道、地下道、涵洞)有照明,市區道路,乾燥,車與車,違反號誌管制或指揮,死亡1;受傷1,2,機車,女,23,121.441968,25.081495
2021,1,20210104,100000,桃園市龍潭區龍新路三和段1689巷1號前0.0公尺,雨,日間自然光線,市區道路,濕潤,汽(機)車本身,其他引起事故之違規或不當行為,死亡1;受傷0,2,,無或物(動物、堆置物),-1,121.162304,24.845509
2021,1,20210104,100000,桃園市龍潭區龍新路三和段1689巷1號前0.0公尺,雨,日間自然光線,市區道路,濕潤,汽(機)車本身,其他引起事故之違規或不當行為,死亡1;受傷0,1,機車,男,26,121.162304,24.845509
2021,1,20210104,100000,桃園市龍潭區龍新路三和段1689巷1號前0.0公尺,雨,日間自然光線,市區道路,濕潤,汽(機)車本身,其他引起事故之違規或不當行為,死亡1;受傷0,3,小客車,男,73,121.162304,24.845509
2021,1,20210104,113800,新北市淡水區新北市淡水區中正東路1段105巷與中正東路1段,雨,日間自然光線,市區道路,濕潤,車與車,右轉彎未依規定,死亡1;受傷0,2,機車,男,18,121.453435,25.161918
2021,1,20210104,113800,新北市淡水區新北市淡水區中正東路1段105巷與中正東路1段,雨,日間自然光線,市區道路,濕潤,車與車,右轉彎未依規定,死亡1;受傷0,1,小客車,男,75,121.453435,25.161918
2021,1,20210104,114400,臺中市大里區永隆里東榮路 / 臺中市大里區永隆里永隆路,晴,日間自然光線,市區道路,乾燥,車與車,違反號誌管制或指揮,死亡1;受傷0,2,機車,男,49,120.676629,24.109353
2021,1,20210104,114400,臺中市大里區永隆里東榮路 / 臺中市大里區永隆里永隆路,晴,日間自然光線,市區道路,乾燥,車與車,違反號誌管制或指揮,死亡1;受傷0,1,小貨車(含客、貨兩用),男,51,120.676629,24.109353
2021,1,20210104,152232,屏東縣竹田鄉龍門路242號前0.0公尺附近,晴,日間自然光線,市區道路,乾燥,汽(機)車本身,未注意車前狀態,死亡1;受傷0,2,,無或物(動物、堆置物),-1,120.523701,22.625022
2021,1,20210104,152232,屏東縣竹田鄉龍門路242號前0.0公尺附近,晴,日間自然光線,市區道路,乾燥,汽(機)車本身,未注意車前狀態,死亡1;受傷0,1,機車,男,82,120.523701,22.625022
2021,1,20210104,210400,臺北市士林區大東路90-2號前0.0公尺,雨,夜間(或隧道、地下道、涵洞)有照明,市區道路,濕潤,人與汽(機)車,未注意車前狀態,死亡1;受傷1,1,機車,男,43,121.525558,25.091478
2021,1,20210104,210400,臺北市士林區大東路90-2號前0.0公尺,雨,夜間(或隧道、地下道、涵洞)有照明,市區道路,濕潤,人與汽(機)車,未注意車前狀態,死亡1;受傷1,2,人,女,72,121.525558,25.091478
2021,1,20210104,232700,彰化縣花壇鄉崙雅村花秀路 / 彰化縣花壇鄉崙雅村花秀路,晴,夜間(或隧道、地下道、涵洞)有照明,村里道路,乾燥,汽(機)車本身,未注意車前狀態,死亡1;受傷0,2,,無或物(動物、堆置物),0,120.525469,24.032475
